researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
25 citations*,0 citations*,,,,0 citations*,2 citations*,,0 citations*,,4 citations*,,,11 citations*,,5 citations*,0 citations*,,,,,,0 citations*,1 citations*,8 citations*,22 citations*,,,0 citations*,4 citations*,,0 citations*,,4 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,5 citations*,38 citations*,,,2 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
14 citations*,0 citations*,,,,0 citations*,2 citations*,,0 citations*,,0 citations*,,,0 citations*,,7 citations*,2 citations*,,,,,,0 citations*,0 citations*,54 citations*,2 citations*,,,0 citations*,1 citations*,,0 citations*,,4 citations*,4 citations*,,,,,,,,,,,,,,,,,,,,,,,5 citations* for all,5 citations*,330 citations*,,,2 citations*,,13 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
10 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,11 citations* for all,,2 citations*,0 citations*,,,,,,0 citations*,0 citations*,32 citations*,7 citations*,,,0 citations*,1 citations*,,0 citations*,,0 citations*,6 citations*,,,,,,,,,,,,,,,,,,,,,,,5 citations*,31 citations*,200 citations*,,,13 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
20 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,2 citations*,,,11 citations*,,1 citations*,0 citations*,,,,,,0 citations*,0 citations*,2 citations*,4 citations*,,,0 citations*,7 citations*,,1 citations*,,0 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,3 citations*,66 citations*,,,2 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
14 citations*,0 citations*,,,,2 citations*,0 citations*,,1 citations*,,0 citations*,,,0 citations*,,30 citations*,0 citations*,,,,,,0 citations*,6 citations*,26 citations*,2 citations*,,,0 citations*,2 citations*,,2 citations*,,21 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,84 citations* for all,2 citations*,163 citations*,,,1 citations*,,21 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
11 citations*,0 citations*,,,,0 citations*,0 citations*,,2 citations*,,0 citations*,,,13 citations*,,0 citations*,3 citations*,,,,,,0 citations*,3 citations*,15 citations*,11 citations*,,,0 citations*,3 citations*,,0 citations*,,19 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,82 citations*,24 citations*,16 citations*,,,11 citations*,,11 citations*,,,,,,,,,,,,,,,,,,,5 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
3 citations*,5 citations*,,,,0 citations*,0 citations*,,3 citations*,,0 citations*,,,54 citations*,,0 citations*,0 citations*,,,,,,0 citations*,0 citations*,1 citations*,0 citations*,,,0 citations*,0 citations*,,0 citations*,,7 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,2 citations*,3 citations*,31 citations*,,,0 citations*,,14 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,4 citations*,,,,,
5 citations*,0 citations*,,,,0 citations*,1 citations* for all,,0 citations*,,1 citations*,,,12 citations*,,0 citations*,0 citations*,,,,,,6 citations*,0 citations*,8 citations*,3 citations*,,,0 citations*,3 citations*,,0 citations*,,0 citations*,9 citations*,,,,,,,,,,,,,,,,,,,,,,,95 citations* for all,14 citations*,103 citations*,,,4 citations*,,10 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
12 citations*,0 citations*,,,,0 citations*,1 citations*,,1 citations*,,1 citations*,,,64 citations*,,17 citations*,0 citations*,,,,,,4 citations*,6 citations*,29 citations*,4 citations*,,,0 citations*,1 citations*,,0 citations*,,3 citations*,2 citations*,,,,,,,,,,,,,,,,,,,,,,,95 citations*,2 citations*,17 citations*,,,0 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
18 citations*,0 citations*,,,,1 citations*,0 citations*,,4 citations*,,0 citations*,,,13 citations*,,0 citations*,0 citations*,,,,,,8 citations*,0 citations*,18 citations*,0 citations*,,,0 citations*,2 citations*,,0 citations*,,20 citations*,5 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,3 citations*,1 citations* for all,,,0 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
9 citations*,3 citations*,,,,1 citations*,0 citations*,,0 citations*,,0 citations*,,,8 citations* for all,,4 citations*,0 citations*,,,,,,9 citations*,0 citations*,55 citations*,3 citations*,,,0 citations*,1 citations*,,0 citations*,,20 citations*,3 citations*,,,,,,,,,,,,,,,,,,,,,,,16 citations* for all,3 citations*,1 citations*,,,0 citations*,,8 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
10 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,8 citations*,,13 citations*,1 citations*,,,,,,0 citations*,2 citations*,50 citations*,0 citations*,,,0 citations*,189 citations*,,0 citations*,,0 citations*,2 citations*,,,,,,,,,,,,,,,,,,,,,,,15 citations*,17 citations*,0 citations*,,,5 citations*,,7 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
25 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,0 citations*,,0 citations*,0 citations*,,,,,,0 citations*,0 citations*,16 citations*,1 citations*,,,1 citations*,3 citations*,,0 citations*,,7 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,1 citations*,25 citations*,30 citations*,,,5 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
27 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,22 citations*,,3 citations*,,,,,,,0 citations*,0 citations*,5 citations*,12 citations*,,,0 citations*,3 citations*,,0 citations*,,0 citations*,3 citations*,,,,,,,,,,,,,,,,,,,,,,,326 citations*,1 citations*,31 citations*,,,1 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
11 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,2 citations*,,1 citations*,,,,,,,2 citations*,0 citations*,1 citations*,0 citations*,,,0 citations*,8 citations*,,0 citations*,,6 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,160 citations* for all,6 citations*,58 citations*,,,12 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
22 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,10 citations* for all,,17 citations*,,,,,,,6 citations*,1 citations*,14 citations*,0 citations*,,,0 citations*,1 citations*,,12 citations*,,3 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,160 citations*,1 citations*,233 citations*,,,3 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
58 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,10 citations*,,7 citations*,,,,,,,0 citations*,0 citations*,79 citations*,0 citations*,,,0 citations*,0 citations*,,0 citations*,,4 citations*,2 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,1 citations*,17 citations*,,,1 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,1 citations*,,,,,,,,4 citations*,,,,,
10 citations*,7 citations*,,,,2 citations*,0 citations*,,0 citations*,,0 citations*,,,0 citations*,,2 citations*,,,,,,,0 citations*,0 citations*,68 citations*,2 citations*,,,0 citations*,0 citations*,,0 citations*,,0 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,91 citations* for all,14 citations*,16 citations*,,,13 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
3 citations* for all,3 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,16 citations*,,0 citations*,,,,,,,2 citations*,,3 citations*,8 citations*,,,0 citations*,0 citations*,,2 citations*,,6 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,91 citations*,2 citations*,7 citations*,,,16 citations*,,15 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,2 citations*,,,,,,,,0 citations*,,,,,
3 citations*,7 citations*,,,,3 citations*,1 citations*,,0 citations*,,0 citations*,,,5 citations*,,0 citations*,,,,,,,0 citations*,,79 citations*,20 citations*,,,0 citations*,0 citations*,,0 citations*,,18 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,3 citations*,204 citations*,,,0 citations*,,10 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,4 citations*,,,,,,,,6 citations*,,,,,
0 citations*,5 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,6 citations*,,2 citations*,,,,,,,0 citations*,,22 citations*,3 citations*,,,0 citations*,1 citations*,,1 citations*,,6 citations*,4 citations*,,,,,,,,,,,,,,,,,,,,,,,164 citations*,5 citations*,312 citations* for all,,,15 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
11 citations*,4 citations*,,,,0 citations*,1 citations*,,1 citations*,,0 citations*,,,9 citations*,,2 citations*,,,,,,,0 citations*,,52 citations*,8 citations*,,,0 citations*,1 citations*,,0 citations*,,10 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,55 citations*,2 citations*,0 citations*,,,1 citations*,,15 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
27 citations*,0 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,63 citations*,,5 citations*,,,,,,,0 citations*,,115 citations*,1 citations*,,,0 citations*,1 citations*,,0 citations*,,64 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,80 citations* for all,1 citations*,312 citations*,,,2 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
5 citations* for all,6 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,7 citations* for all,,1 citations*,,,,,,,8 citations*,,21 citations*,0 citations*,,,0 citations*,20 citations*,,0 citations*,,2 citations*,3 citations*,,,,,,,,,,,,,,,,,,,,,,,80 citations*,9 citations*,0 citations*,,,0 citations*,,8 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
5 citations*,1 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,7 citations*,,0 citations*,,,,,,,0 citations*,,19 citations*,3 citations*,,,0 citations*,226 citations*,,2 citations*,,15 citations*,2 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,11 citations*,178 citations*,,,1 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
0 citations*,1 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,0 citations*,,0 citations*,,,,,,,0 citations*,,29 citations*,4 citations*,,,0 citations*,3 citations*,,0 citations*,,6 citations*,8 citations*,,,,,,,,,,,,,,,,,,,,,,,148 citations* for all,2 citations*,298 citations*,,,6 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,11 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
14 citations* for all,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,7 citations*,,0 citations*,,,,,,,2 citations*,,14 citations*,0 citations*,,,0 citations*,0 citations*,,5 citations*,,16 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,148 citations*,0 citations*,251 citations*,,,10 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,5 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
12 citations*,0 citations*,,,,2 citations*,0 citations*,,0 citations*,,0 citations*,,,4 citations* for all,,4 citations*,,,,,,,0 citations*,,25 citations*,0 citations*,,,0 citations*,0 citations*,,0 citations*,,11 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,11 citations*,472 citations*,,,2 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
2 citations*,14 citations*,,,,0 citations*,0 citations*,,1 citations*,,0 citations*,,,3 citations*,,2 citations*,,,,,,,1 citations*,,2 citations*,0 citations*,,,0 citations*,6 citations*,,5 citations*,,8 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,69 citations* for all,3 citations*,5 citations*,,,3 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,4 citations*,,,,,
13 citations*,4 citations*,,,,0 citations*,0 citations*,,2 citations*,,0 citations*,,,1 citations*,,6 citations*,,,,,,,1 citations*,,17 citations*,0 citations*,,,0 citations*,0 citations*,,0 citations*,,27 citations*,4 citations*,,,,,,,,,,,,,,,,,,,,,,,68 citations*,7 citations*,374 citations*,,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
9 citations*,4 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,5 citations* for all,,0 citations*,,,,,,,0 citations*,,4 citations*,0 citations*,,,0 citations*,1 citations*,,1 citations*,,5 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,1 citations*,14 citations*,73 citations*,,,3 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
6 citations*,7 citations*,,,,0 citations*,0 citations*,,0 citations*,,0 citations*,,,5 citations*,,6 citations*,,,,,,,0 citations*,,0 citations*,0 citations*,,,0 citations*,1 citations*,,1 citations*,,3 citations*,3 citations*,,,,,,,,,,,,,,,,,,,,,,,76 citations*,0 citations*,175 citations*,,,2 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
12 citations*,0 citations*,,,,0 citations*,1 citations*,,0 citations*,,,,,0 citations*,,10 citations*,,,,,,,0 citations*,,0 citations*,0 citations*,,,2 citations*,13 citations*,,1 citations*,,1 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,114 citations* for all,4 citations*,97 citations*,,,1 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
15 citations*,1 citations*,,,,0 citations*,0 citations*,,0 citations*,,,,,30 citations*,,1 citations*,,,,,,,0 citations*,,1 citations*,0 citations*,,,1 citations*,0 citations*,,0 citations*,,2 citations*,8 citations*,,,,,,,,,,,,,,,,,,,,,,,113 citations*,0 citations*,121 citations*,,,5 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
17 citations*,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,,,,23 citations*,,0 citations*,,,,,,,0 citations*,,0 citations*,0 citations*,,,0 citations*,0 citations*,,0 citations*,,7 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,1 citations*,0 citations*,17 citations*,,,1 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
0 citations* for all,0 citations*,,,,0 citations*,0 citations*,,0 citations*,,,,,12 citations* for all,,7 citations*,,,,,,,0 citations*,,19 citations*,0 citations*,,,0 citations*,0 citations*,,4 citations*,,16 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,85 citations* for all,3 citations*,16 citations*,,,1 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,3 citations*,,,,,
0 citations*,9 citations*,,,,1 citations*,0 citations*,,0 citations*,,,,,12 citations*,,2 citations*,,,,,,,0 citations*,,15 citations*,0 citations*,,,0 citations*,0 citations*,,1 citations*,,2 citations*,0 citations*,,,,,,,,,,,,,,,,,,,,,,,85 citations*,0 citations*,534 citations*,,,1 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
0 citations*,4 citations*,,,,0 citations*,0 citations*,,0 citations*,,,,,0 citations*,,0 citations*,,,,,,,1 citations*,,64 citations*,10 citations*,,,0 citations*,0 citations*,,16 citations*,,1 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,0 citations*,1 citations*,0 citations*,,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
4 citations*,3 citations*,,,,,0 citations*,,6 citations*,,,,,11 citations*,,0 citations*,,,,,,,0 citations*,,15 citations*,19 citations*,,,0 citations*,4 citations*,,1 citations*,,6 citations*,1 citations*,,,,,,,,,,,,,,,,,,,,,,,6 citations*,4 citations*,0 citations*,,,8 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
2 citations*,0 citations*,,,,,0 citations*,,1 citations*,,,,,7 citations*,,1 citations*,,,,,,,0 citations*,,1 citations*,1 citations*,,,0 citations*,0 citations*,,0 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,81 citations*,7 citations*,11 citations*,,,2 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,4 citations*,,,,,
11 citations*,0 citations*,,,,,0 citations*,,2 citations*,,,,,7 citations*,,0 citations*,,,,,,,0 citations*,,53 citations*,2 citations*,,,0 citations*,1 citations*,,0 citations*,,20 citations*,,,,,,,,,,,,,,,,,,,,,,,,31 citations* for all,5 citations*,6 citations*,,,0 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,2 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
15 citations*,1 citations*,,,,,0 citations*,,,,,,,4 citations*,,0 citations*,,,,,,,0 citations*,,0 citations*,8 citations*,,,0 citations*,15 citations*,,0 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,,,,,,31 citations*,3 citations*,173 citations*,,,4 citations*,,7 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
8 citations*,0 citations*,,,,,0 citations*,,,,,,,2 citations*,,0 citations*,,,,,,,0 citations*,,27 citations*,5 citations*,,,0 citations*,2 citations*,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,0 citations*,77 citations*,,,0 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
6 citations*,1 citations*,,,,,0 citations*,,,,,,,18 citations*,,0 citations*,,,,,,,0 citations*,,8 citations*,1 citations*,,,1 citations*,1 citations*,,0 citations*,,28 citations*,,,,,,,,,,,,,,,,,,,,,,,,64 citations*,0 citations*,11 citations*,,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,2 citations*,,,,,
10 citations*,0 citations*,,,,,0 citations*,,,,,,,18 citations* for all,,12 citations*,,,,,,,0 citations*,,11 citations*,2 citations*,,,0 citations*,5 citations*,,0 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,4 citations* for all,0 citations*,140 citations*,,,0 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
7 citations*,0 citations*,,,,,0 citations*,,,,,,,18 citations*,,2 citations*,,,,,,,3 citations*,,1 citations*,3 citations*,,,0 citations*,2 citations*,,0 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,4 citations*,0 citations*,123 citations*,,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
21 citations*,1 citations*,,,,,0 citations*,,,,,,,0 citations*,,0 citations*,,,,,,,0 citations*,,53 citations*,5 citations*,,,0 citations*,0 citations*,,0 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,0 citations*,98 citations*,,,3 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,0 citations*,,,,,
14 citations*,1 citations*,,,,,,,,,,,,10 citations* for all,,3 citations*,,,,,,,0 citations*,,0 citations*,9 citations*,,,0 citations*,0 citations*,,0 citations*,,6 citations*,,,,,,,,,,,,,,,,,,,,,,,,26 citations* for all,0 citations*,376 citations*,,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
12 citations*,0 citations*,,,,,,,,,,,,8 citations*,,0 citations*,,,,,,,0 citations*,,26 citations*,2 citations*,,,0 citations*,0 citations*,,0 citations*,,26 citations*,,,,,,,,,,,,,,,,,,,,,,,,25 citations*,1 citations*,27 citations*,,,1 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,0 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
5 citations* for all,5 citations*,,,,,,,,,,,,2 citations*,,0 citations*,,,,,,,0 citations*,,31 citations*,0 citations*,,,0 citations*,0 citations*,,0 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,0 citations*,16 citations*,,,4 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,1 citations*,,,0 citations*,,,,,,,,1 citations*,,,,,
